,Date,Acid/Fusion/POP,Drama_OST,Classic,Indie_Music,Music_OST,Ballad,Dance,Rock/Metal,R&B/Soul,Electronica,Rap/Hiphop,EDM,POP,J-POP,Adults_Music,Jazz,Newage,Folk/Blues,Ani/GameOST,-
213,2017-10,,,,,,,,,6.666666666666668,,,1.6666666666666667,1.6666666666666667,0.0,,,,,,0.0
214,2017-11,,,,,,,,,5.833333333333332,,,0.8333333333333334,1.6666666666666667,0.0,,,,,,0.0
215,2017-12,,,,,,,,,12.389380530973453,,,0.8849557522123894,5.3097345132743365,0.0,,,,,,0.0
216,2018-01,,,,,,,,,10.619469026548671,,,0.8849557522123894,5.3097345132743365,0.0,,,,,,0.0
217,2018-02,,,,,,,,,10.434782608695652,,,0.8695652173913043,5.217391304347826,0.0,,,,,,0.0
218,2018-03,,,,,,,,,13.274336283185846,,,0.8849557522123894,5.3097345132743365,0.0,,,,,,0.0
219,2018-04,,,,,,,,,8.771929824561402,,,0.8771929824561403,5.263157894736842,0.0,,,,,,0.0
220,2018-05,,,,,,,,,10.619469026548671,,,0.0,5.3097345132743365,0.0,,,,,,0.0
221,2018-06,,,,,,,,,6.140350877192982,,,0.0,6.140350877192982,0.0,,,,,,0.0
222,2018-07,,,,,,,,,8.181818181818182,,,0.0,6.363636363636362,0.0,,,,,,0.0
223,2018-08,,,,,,,,,8.035714285714286,,,0.0,5.357142857142857,0.0,,,,,,0.0
224,2018-09,,,,,,,,,7.9646017699115035,,,0.0,5.3097345132743365,0.0,,,,,,0.0
225,2018-10,,,,,,,,,6.896551724137932,,,0.0,5.172413793103448,0.0,,,,,,0.0
226,2018-11,,,,,,,,,7.9646017699115035,,,0.0,2.6548672566371683,0.0,,,,,,0.0
227,2018-12,,,,,,,,,10.0,,,0.0,3.636363636363636,0.0,,,,,,0.0
228,2019-01,,,,,,,,,8.035714285714286,,,0.0,2.6785714285714284,0.0,,,,,,0.0
229,2019-02,,,,,,,,,5.357142857142857,,,0.0,1.7857142857142856,0.0,,,,,,0.0
230,2019-03,,,,,,,,,10.714285714285714,,,0.0,3.571428571428571,0.0,,,,,,0.0
231,2019-04,,,,,,,,,9.401709401709402,,,0.0,3.418803418803419,0.0,,,,,,0.0
232,2019-05,,,,,,,,,8.620689655172415,,,0.0,5.172413793103448,0.0,,,,,,0.0
233,2019-06,,,,,,,,,8.333333333333332,,,0.0,10.0,0.0,,,,,,0.0
234,2019-07,,,,,,,,,8.333333333333332,,,0.0,10.833333333333336,0.0,,,,,,0.0
235,2019-08,,,,,,,,,7.874015748031495,,,0.0,7.874015748031495,0.0,,,,,,0.0
236,2019-09,,,,,,,,,6.8181818181818175,,,0.0,6.8181818181818175,0.0,,,,,,0.0
237,2019-10,,,,,,,,,8.064516129032258,,,0.0,5.64516129032258,0.0,,,,,,0.0
238,2019-11,,,,,,,,,6.504065040650407,,,0.0,5.691056910569105,0.0,,,,,,0.0
